,title,entityNames
69,"Carolina Panthers, Offensive lineman, NFL, Austin Corbett, Damien Lewis, New Orleans Saints","['Carolina Panthers', 'Offensive lineman', 'NFL', 'Austin Corbett', 'Damien Lewis', 'New Orleans Saints']"
70,"Legal case, United States Department of Justice, Maryland, Exoneration, Law","['Legal case', 'United States Department of Justice', 'Maryland', 'Exoneration', 'Law']"
71,"The Salvation Army Windsor Centre of Hope, Windsor, Executive Director","['The Salvation Army Windsor Centre of Hope', 'Windsor', 'Executive Director']"
72,"Snowmobile, Accident, Québec City, Collision","['Snowmobile', 'Accident', 'Québec City', 'Collision']"
73,"Toledo Walleye, Ice hockey, Maine Mariners, ECHL, Seattle Mariners, Griffin Ness","['Toledo Walleye', 'Ice hockey', 'Maine Mariners', 'ECHL', 'Seattle Mariners', 'Griffin Ness']"
74,"MapleStory, Nexon, Massively multiplayer online role-playing game, October 26, Los Angeles","['MapleStory', 'Nexon', 'Massively multiplayer online role-playing game', 'October 26', 'Los Angeles']"
75,"Patent, Patent application, Renewable energy, BTX, Innovation","['Patent', 'Patent application', 'Renewable energy', 'BTX', 'Innovation']"
76,"Palm Beach County, Delray Beach, Florida","['Palm Beach County', 'Delray Beach', 'Florida']"
77,"Visa, General Motors, Board of directors, Chief Executive Officer, Alfred F. Kelly Jr., Reuters","['Visa', 'General Motors', 'Board of directors', 'Chief Executive Officer', 'Alfred F. Kelly Jr.', 'Reuters']"
78,"Geographic information system, Analysis, Forecasting","['Geographic information system', 'Analysis', 'Forecasting']"
79,"National Day for Truth and Reconciliation, Indigenous peoples, First Nations in Canada, Canadian Indian residential school system, Truth commission","['National Day for Truth and Reconciliation', 'Indigenous peoples', 'First Nations in Canada', 'Canadian Indian residential school system', 'Truth commission']"
80,"Gold, Suriname","['Gold', 'Suriname']"
81,"First Take, Stephen A. Smith, Molly Qerim, ESPN","['First Take', 'Stephen A. Smith', 'Molly Qerim', 'ESPN']"
82,"Serbia, Emmanuel Macron, Dassault Rafale, Aleksandar Vučić, Russia, President of France, Dassault Aviation","['Serbia', 'Emmanuel Macron', 'Dassault Rafale', 'Aleksandar Vučić', 'Russia', 'President of France', 'Dassault Aviation']"
83,"Artificial intelligence, CBRE Group Inc, Toronto","['Artificial intelligence', 'CBRE Group Inc', 'Toronto']"
84,"Tourism, Hospitality industry, Compound annual growth rate","['Tourism', 'Hospitality industry', 'Compound annual growth rate']"
85,"Roku, Inc., NFL RedZone, NFL regular season","['Roku, Inc.', 'NFL RedZone', 'NFL regular season']"
86,"Methanol, Johnson Matthey","['Methanol', 'Johnson Matthey']"
87,"School bullying, School","['School bullying', 'School']"
88,"Wasp, Diet","['Wasp', 'Diet']"
89,"Hapag-Lloyd, Liquefied natural gas","['Hapag-Lloyd', 'Liquefied natural gas']"
90,"Light-emitting diode, Market analysis, Forecasting","['Light-emitting diode', 'Market analysis', 'Forecasting']"
91,"Uganda, Olympic Games, Athletics, Marathon","['Uganda', 'Olympic Games', 'Athletics', 'Marathon']"
92,"Bridge loan, Finance","['Bridge loan', 'Finance']"
93,"FC Barcelona, Injury in humans","['FC Barcelona', 'Injury in humans']"
94,"Housing, Mayor of Atlanta, Homelessness","['Housing', 'Mayor of Atlanta', 'Homelessness']"
95,"SpaceX, Falcon 9, Cape Canaveral Space Force Station, Space launch","['SpaceX', 'Falcon 9', 'Cape Canaveral Space Force Station', 'Space launch']"
96,"Billie Eilish, FINNEAS, Jimmy Kimmel Live!","['Billie Eilish', 'FINNEAS', 'Jimmy Kimmel Live!']"
97,"Alcoholic beverage, Drink, Ontario, Convenience store","['Alcoholic beverage', 'Drink', 'Ontario', 'Convenience store']"
98,"Morgan Stanley, Plastic pollution, Finance","['Morgan Stanley', 'Plastic pollution', 'Finance']"
99,"Minnesota Vikings, NFL, New York Jets, Buffalo Bills","['Minnesota Vikings', 'NFL', 'New York Jets', 'Buffalo Bills']"
100,"Computer-assisted surgery, Market analysis, Orthopedics, Navigation system, Medicine","['Computer-assisted surgery', 'Market analysis', 'Orthopedics', 'Navigation system', 'Medicine']"
101,"Novarc Technologies Inc. - Keith, Welding, Automation, Artificial intelligence, Computer vision","['Novarc Technologies Inc. - Keith', 'Welding', 'Automation', 'Artificial intelligence', 'Computer vision']"
102,"Volvo Cars, Electric vehicle","['Volvo Cars', 'Electric vehicle']"
103,"Regenerative medicine, Compound annual growth rate, Industry","['Regenerative medicine', 'Compound annual growth rate', 'Industry']"
104,"West Virginia, Assisted suicide, Euthanasia, Constitutional amendment","['West Virginia', 'Assisted suicide', 'Euthanasia', 'Constitutional amendment']"
105,"Psychological Stress, Heart, Occupational stress","['Psychological Stress', 'Heart', 'Occupational stress']"
106,"Venezuela, Nicolás Maduro, Protest, Human rights","['Venezuela', 'Nicolás Maduro', 'Protest', 'Human rights']"
107,"Labor Day, Las Vegas","['Labor Day', 'Las Vegas']"
108,"Descartes Systems Group, NASDAQ:DSGX, Earnings","['Descartes Systems Group', 'NASDAQ:DSGX', 'Earnings']"
109,"Agritourism, Tourism, Market segmentation","['Agritourism', 'Tourism', 'Market segmentation']"
110,"Social Islami Bank, Finance, Board of directors, Bangladesh Bank","['Social Islami Bank', 'Finance', 'Board of directors', 'Bangladesh Bank']"
111,"Body composition, Hologic, Research, Industry","['Body composition', 'Hologic', 'Research', 'Industry']"
112,"Hunter Biden, Joe Biden, Jury selection, Jury","['Hunter Biden', 'Joe Biden', 'Jury selection', 'Jury']"
113,"Royal Canadian Mounted Police, Coquitlam","['Royal Canadian Mounted Police', 'Coquitlam']"
114,"Blood pressure measurement, Research, Health care","['Blood pressure measurement', 'Research', 'Health care']"
115,"Netflix, Patriot Act with Hasan Minhaj, Prashanth Venkataramanujam, Stand-up comedy, Hasan Minhaj: Homecoming King, The Daily Show","['Netflix', 'Patriot Act with Hasan Minhaj', 'Prashanth Venkataramanujam', 'Stand-up comedy', 'Hasan Minhaj: Homecoming King', 'The Daily Show']"
116,"TTC, ttc, Toronto subway","['TTC', 'ttc', 'Toronto subway']"
117,"Cate Blanchett, Toronto International Film Festival, Selena Gomez, Jacob Elordi, Sydney Sweeney, Julianne Moore, Barry Keoghan","['Cate Blanchett', 'Toronto International Film Festival', 'Selena Gomez', 'Jacob Elordi', 'Sydney Sweeney', 'Julianne Moore', 'Barry Keoghan']"
118,"Government Pension Investment Fund, Investment fund, Japan, Pension","['Government Pension Investment Fund', 'Investment fund', 'Japan', 'Pension']"
119,"GPS watch, Activity tracker, Smartwatch, Wearable technology","['GPS watch', 'Activity tracker', 'Smartwatch', 'Wearable technology']"
120,"Dak Prescott, Mike McCarthy, Dallas Cowboys, NFL","['Dak Prescott', 'Mike McCarthy', 'Dallas Cowboys', 'NFL']"
121,"Golden Deeps Ltd., Copper, Zinc, ASX, New South Wales, ASX:GED, Stock","['Golden Deeps Ltd.', 'Copper', 'Zinc', 'ASX', 'New South Wales', 'ASX:GED', 'Stock']"
122,"Jobless claims, Unemployment benefits, Layoff","['Jobless claims', 'Unemployment benefits', 'Layoff']"
123,"New Order, Joy Division, Peter Hook & the Light","['New Order', 'Joy Division', 'Peter Hook & the Light']"
124,"2024, Hollywood Bowl","['2024', 'Hollywood Bowl']"
125,"Grantham, Roadworks, Lincolnshire","['Grantham', 'Roadworks', 'Lincolnshire']"
126,"Dominik Kubalik, HC Ambrì-Piotta, Ambrì, National League","['Dominik Kubalik', 'HC Ambrì-Piotta', 'Ambrì', 'National League']"
127,"Aphasia, Innovation, Research","['Aphasia', 'Innovation', 'Research']"
128,"Moldova, Transnistria, Presidential election","['Moldova', 'Transnistria', 'Presidential election']"
129,"Scaffolding, Industry","['Scaffolding', 'Industry']"
130,"UEFA Nations League, FIFA World Cup qualification, Fédération Internationale de Football Association","['UEFA Nations League', 'FIFA World Cup qualification', 'Fédération Internationale de Football Association']"
131,"Elmet Technologies, Tungsten, ASX:EQR, Resource","['Elmet Technologies', 'Tungsten', 'ASX:EQR', 'Resource']"
132,"Tesla, Self-driving car, Robotaxi, Tesla Semi","['Tesla', 'Self-driving car', 'Robotaxi', 'Tesla Semi']"
133,"Fusillade, Georgia","['Fusillade', 'Georgia']"
134,"Artificial intelligence, NFL, Nike, Prediction","['Artificial intelligence', 'NFL', 'Nike', 'Prediction']"
135,"Utah Grizzlies, ECHL, Defenseman, American Hockey League, Bemidji","['Utah Grizzlies', 'ECHL', 'Defenseman', 'American Hockey League', 'Bemidji']"
